epoch cg_usage g2_ticks
=== GO2RTC CPU AT DIAL SECONDS (c373 falsifier run) ===
343 samples, 1s resolution, frigate container cgroup usage_usec + go2rtc pid ticks
DIAL seconds (sec mod 60 in {1,11,21,31,41,51}): n=8 mean=783ms max=1139
NON-DIAL: n=76 mean=1100ms max=1999
VERDICT: NO CPU spike at dial seconds. Dial loop is CPU-cheap. Contention-by-CPU hypothesis
has no support; amendment 4 alignment evidence was already vacuous (10s dial cadence covers all).
1789607124 2026-09-17/00 225 225
1789608793 2026-09-17/00 225 225
1789610700 2026-09-17/01 225 225
1789608793 2026-09-17/00 exterior_1 5334 audio-yes
1789608793 2026-09-17/00 exterior_2 26 audio-yes
1789608793 2026-09-17/00 exterior_3 4577 audio-yes
1789608793 2026-09-17/00 exterior_4 - audio-NO
1789608793 2026-09-17/00 exterior_5 5606 audio-yes
1789608793 2026-09-17/00 interior_1 5725 audio-yes
1789608793 2026-09-17/00 interior_2 5715 audio-yes
1789608793 2026-09-17/00 interior_3 4607 audio-yes
1789610700 2026-09-17/01 exterior_1 6085 audio-yes
1789610700 2026-09-17/01 exterior_2 6107 audio-yes
1789610700 2026-09-17/01 exterior_3 4577 audio-yes
1789610700 2026-09-17/01 exterior_4 - audio-NO
1789610700 2026-09-17/01 exterior_5 6070 audio-yes
1789610700 2026-09-17/01 interior_1 6129 audio-yes
1789610700 2026-09-17/01 interior_2 6069 audio-yes
1789610700 2026-09-17/01 interior_3 6075 audio-yes
